threshold,nb_model,nb_treat_all,nb_treat_none,horizon
0.8200000000000001,0.2911646586345381,-2.3467202141900945,0.0,48h
0.8300000000000001,0.28525868178596736,-2.543586109142453,0.0,48h
0.8400000000000001,0.2786144578313252,-2.7650602409638565,0.0,48h
0.85,0.30522088353413657,-3.0160642570281113,0.0,48h
0.86,0.29948364888123924,-3.3029259896729766,0.0,48h
0.87,0.2928637627432808,-3.6339202965708988,0.0,48h
0.88,0.285140562248996,-4.020080321285141,0.0,48h
0.89,0.3247535596933187,-4.476451259583791,0.0,48h
0.9,0.3192771084337349,-5.02409638554217,0.0,48h
0.91,0.30655957161981257,-5.693440428380189,0.0,48h
0.92,0.29819277108433734,-6.530120481927715,0.0,48h
0.93,0.28743545611015486,-7.60585197934596,0.0,48h
0.9400000000000001,0.26104417670682717,-9.040160642570289,0.0,48h
0.9500000000000001,0.22289156626506007,-11.048192771084354,0.0,48h
0.9600000000000001,0.11445783132530091,-14.060240963855449,0.0,48h
0.97,0.20481927710843373,-19.080321285140542,0.0,48h
0.98,0.1566265060240964,-29.120481927710813,0.0,48h
